candidate,split,method,brier_mean,brier_std,ece_mean,log_loss_mean
KNN,train_oof,isotonic,0.028994429454427446,0.014167304343137526,0.024655823377326466,0.13274652793376882
KNN,train_oof,none,0.02938798871883997,0.0155939922866987,0.041825929448606684,0.12197499845350572
KNN,train_oof,sigmoid,0.02976241925267955,0.014532765898013125,0.02879420651985412,0.10258888161682977
KNN,validation,isotonic,0.013991933253200948,0.010422890894694581,0.01990568601625842,0.037649800212008415
KNN,validation,sigmoid,0.01658717767733506,0.008873090922350653,0.02149571541992697,0.04776842660427209
KNN,validation,none,0.016978105557589974,0.008801360813056523,0.026274035253984612,0.052167988366283814
SVM,train_oof,none,0.04618896937874995,0.018970215464557273,0.060508163768614245,0.18818527907648602
SVM,train_oof,sigmoid,0.04649617989157118,0.019850683846530905,0.05375172177701486,0.18891989146515323
SVM,train_oof,isotonic,0.04920588852318338,0.02044582569165225,0.047891184318958405,0.21687109939164176
SVM,validation,isotonic,0.028229379181825737,0.012491550815458998,0.02945979253948658,0.14507216664981964
SVM,validation,none,0.032970248793027485,0.013821334351594607,0.04879210088497894,0.12857160848906352
SVM,validation,sigmoid,0.033649169349407385,0.013983270731093424,0.046742353924578386,0.13467962445391374
Random Forest,train_oof,isotonic,0.03253846393565778,0.016107545364391133,0.03529528763775016,0.15148711800324785
Random Forest,train_oof,sigmoid,0.033859952984134946,0.014605636494420024,0.043738257161925316,0.12322607614980938
Random Forest,train_oof,none,0.0379003317073691,0.012819262458082547,0.07344394471544717,0.1497956335780776
Random Forest,validation,isotonic,0.02207644930730967,0.012124139657591317,0.02072675843302143,0.12470162777476938
Random Forest,validation,sigmoid,0.02330922364007033,0.006956489295466258,0.0376902829419198,0.0864578415238145
Random Forest,validation,none,0.026435980487907313,0.008871473737537881,0.07069278536585366,0.11228366201798974
Hybrid Ensemble (Weighted),train_oof,sigmoid,0.028493142453554766,0.01457689145837568,0.03939182086472161,0.10021707703659521
Hybrid Ensemble (Weighted),train_oof,none,0.02910432675439235,0.015039945860022278,0.039864562809764956,0.10051066185996482
Hybrid Ensemble (Weighted),train_oof,isotonic,0.030367501545785408,0.01470558738237211,0.027462737735850434,0.13492727900954957
Hybrid Ensemble (Weighted),validation,isotonic,0.013959737857389442,0.010164373984433287,0.020463256995332812,0.037518927101453395
Hybrid Ensemble (Weighted),validation,none,0.016925793930394815,0.008672658092223633,0.03666219282393648,0.0602049844764758
Hybrid Ensemble (Weighted),validation,sigmoid,0.02067191062344086,0.011296883880343708,0.028489794502569603,0.06837280435364582
