candidate,split,calibration,brier,ece,log_loss
KNN,train_oof,none,0.02938798871883996,0.022816563933232975,0.12197499845350573
KNN,validation,none,0.016978105557589974,0.026273674278374664,0.05216798836628382
SVM,train_oof,none,0.046188969378749944,0.03478427018571043,0.188185279076486
SVM,validation,none,0.03297024879302748,0.026346571507898042,0.12857160848906357
Random Forest,train_oof,none,0.03790033170736911,0.05917403577235775,0.14979563357807762
Random Forest,validation,none,0.026435980487907317,0.05547327317073165,0.11228366201798973
Hybrid Ensemble (Weighted),train_oof,none,0.029104326754392354,0.02252593844119766,0.10051066185996481
Hybrid Ensemble (Weighted),validation,none,0.016925793930394815,0.03666219282393651,0.06020498447647579
