candidate,calibration,fitted_on,brier,ece,log_loss
KNN,isotonic,validation,0.0073170731717024365,9.707317071656597e-07,0.02028820528516673
SVM,isotonic,validation,0.024371238518219002,6.390243902172996e-07,0.08109717876823741
Random Forest,isotonic,validation,0.015164369035872746,8.78048780344104e-07,0.05020662922193264
Hybrid Ensemble (Weighted),isotonic,validation,0.0073170731717024365,9.707317071656597e-07,0.02028820528516673
