model,roc_auc_mean,roc_auc_std,pr_auc_mean,f1_mean,recall_mean,stability_score
Random Forest,0.9911077874181687,0.0014348542106145913,0.9909444162449196,0.964640020588306,0.9550595238095237,0.9896729332075541
KNN,0.9886828983947626,0.0028732535885758943,0.9855992738428311,0.9585638151335699,0.9538392857142857,0.9858096448061867
SVM,0.9772826091830329,0.004479247401581613,0.9742814314250088,0.9480411242531026,0.9436706349206349,0.9728033617814513
Logistic Regression,0.9252627006546497,0.0011314591154680093,0.9258376800265081,0.8486906926964533,0.865188492063492,0.9241312415391817
