model,strategy,best_cv_roc_auc,best_params,evaluated_candidates,roc_auc_mean,roc_auc_std,pr_auc_mean,f1_mean,recall_mean,stability_score,shortlist_rank,selected_for_phase4
Random Forest,smote,0.989521175230921,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1}",18,0.9911077874181687,0.0014348542106145913,0.9909444162449196,0.964640020588306,0.9550595238095237,0.9896729332075541,1,True
KNN,smote,0.9917719823334231,"{""model__n_neighbors"": 11, ""model__weights"": ""distance""}",8,0.9886828983947626,0.0028732535885758943,0.9855992738428311,0.9585638151335699,0.9538392857142857,0.9858096448061867,2,True
SVM,class_weight,0.9784040668998296,"{""model__C"": 10.0, ""model__gamma"": ""scale""}",6,0.9772826091830329,0.004479247401581613,0.9742814314250088,0.9480411242531026,0.9436706349206349,0.9728033617814513,3,True
Logistic Regression,smote,0.9260136983230204,"{""model__C"": 1.0}",3,0.9252627006546497,0.0011314591154680093,0.9258376800265081,0.8486906926964533,0.865188492063492,0.9241312415391817,4,False
