candidate,roc_auc_mean,roc_auc_std,pr_auc_mean,f1_mean,recall_mean,specificity_mean,brier_mean,stability_score
KNN + RF,0.9918610558401422,0.001380369903126644,0.9910105119830247,0.9645854713523196,0.9575949367088608,0.9705685618729097,0.029816626298061484,0.9904806859370155
Hybrid Ensemble (Weighted),0.9916578468312094,0.0013395546812708019,0.9908151224207027,0.9586588930972095,0.9537974683544304,0.9618729096989966,0.029497678994962823,0.9903182921499386
RF Alone,0.9905222048177469,0.0016029264175328561,0.9897661332547072,0.9648436699589549,0.9569620253164557,0.9719063545150501,0.03540076747967479,0.988919278400214
Hybrid Ensemble (Unweighted),0.9899983065915923,0.0017656244419069034,0.9880869956917113,0.9587639007796351,0.95,0.9665551839464882,0.03222501474047757,0.9882326821496854
SVM + RF,0.988554675923966,0.002337386726381349,0.9866984133269348,0.9523990665620825,0.95,0.9525083612040135,0.03673318085835522,0.9862172891975846
KNN Alone,0.9884223783921087,0.002969915230272726,0.9849600303274929,0.9586497026591327,0.9537974683544304,0.9618729096989966,0.030278509038390845,0.985452463161836
KNN + SVM,0.9873650565175056,0.0029165568662445056,0.9807363158288712,0.9571947575546119,0.9487341772151898,0.9645484949832775,0.03325628981937649,0.9844484996512611
SVM Alone,0.9766203801701876,0.004633167608624519,0.969956232861039,0.9469364068489521,0.9436708860759493,0.9478260869565218,0.043519978720809,0.9719872125615631
