case,n,pct,mean_prob
TP,23,0.3770491803278688,0.8334232394907031
TN,27,0.4426229508196721,0.1744454162285288
FP,6,0.09836065573770492,0.7363836463341064
FN,5,0.08196721311475409,0.24047895523918691
