model,train_mean,val_mean,gap_mean,gap_sd
Logistic Regression,0.9397915643574983,0.916096866096866,0.023694698260632308,0.03188763552928743
SVM,0.9410439661071528,0.9146594146594147,0.026384551447738214,0.030932006366902107
Random Forest,0.9858462226113325,0.911965811965812,0.07388041064552056,0.018497917209834628
Gradient Boosting,1.0,0.8815721315721315,0.11842786842786845,0.030214852991927155
XGBoost,1.0,0.8722999222999224,0.12770007770007769,0.04839872912723656
KNN,0.938284011089643,0.9092527842527843,0.02903122683685875,0.028570828729233208
MLP,0.9667157884850193,0.8849520849520849,0.08176370353293434,0.033904881672535934
Hybrid Ensemble,0.9665194857035516,0.913986013986014,0.0525334717175376,0.022068948960436624
