group,n,n_disease,prevalence,sens,spec,auc,f1,mean_prob,tp,tn,fp,fn,subgroup_type
Young (<45),13,3,0.23076923076923078,1.0,1.0,1.0,1.0,0.2612435417986284,3,10,0,0,Age
Middle (45-60),33,18,0.5454545454545454,0.7777777777777778,0.8,0.8814814814814815,0.8,0.5118155086370114,14,12,3,4,Age
Senior (>60),15,7,0.4666666666666667,0.8571428571428571,0.625,0.7857142857142857,0.75,0.6142253048168983,6,5,3,1,Age
Female (sex=0),23,7,0.30434782608695654,0.8571428571428571,0.875,0.9553571428571428,0.8,0.41756148679461424,6,14,2,1,Sex
Male   (sex=1),38,21,0.5526315789473685,0.8095238095238095,0.7647058823529411,0.8347338935574229,0.8095238095238095,0.523566926431076,17,13,4,4,Sex
