model,mean_nb,max_nb,max_tau,beats_ta_pct
Logistic Regression,0.3401626156783875,0.4296539162112933,0.0546218487394958,92.22222222222223
SVM,0.34124898452972546,0.42870673952641164,0.0546218487394958,90.0
Random Forest,0.334806138013222,0.42775956284153005,0.0546218487394958,94.44444444444444
Gradient Boosting,0.30643217461299366,0.42775956284153005,0.0546218487394958,93.33333333333333
XGBoost,0.319843195909496,0.42775956284153005,0.0546218487394958,76.66666666666667
KNN,0.3406367269972102,0.4345291234179136,0.06949579831932773,100.0
MLP,0.3275813318755211,0.42775956284153005,0.0546218487394958,82.22222222222221
Hybrid Ensemble,0.34035559816757527,0.42775956284153005,0.0546218487394958,91.11111111111111
