model,fold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tp,tn,fp,fn
Hybrid Ensemble,1,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.8888888888888888,0.8372093023255814,0.9545454545454546,0.9509818306290057,18,24,3,4
Hybrid Ensemble,2,0.8125,0.76,0.8636363636363636,0.7692307692307693,0.8085106382978723,0.9020979020979022,0.9093070006838547,19,20,6,3
Hybrid Ensemble,3,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.8986013986013986,0.9166342684114883,16,25,1,6
Hybrid Ensemble,4,0.8333333333333334,0.9375,0.6818181818181818,0.9615384615384616,0.7894736842105263,0.9090909090909092,0.9083675248448722,15,25,1,7
Hybrid Ensemble,5,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.9055944055944056,0.9197484521710828,18,22,4,4
