model,mean_auc,sd_auc,cv_pct,range_auc,min_auc,mean_f1,sd_f1,stab_score
Logistic Regression,0.9178451178451178,0.021884349456495682,2.3843183377033084,0.05600880600880598,0.8968531468531469,0.8379477934878631,0.027987247973611712,0.8981888394056404
Hybrid Ensemble,0.913986013986014,0.020578935621765253,2.251559138418081,0.05594405594405594,0.8986013986013986,0.8147776527057238,0.015666688790082067,0.8955564161523559
Random Forest,0.9122377622377623,0.02317736142542175,2.540714974193415,0.06468531468531469,0.8898601398601399,0.8006149732798864,0.034248409177946006,0.8915734423276275
KNN,0.9147694897694898,0.026896428691510918,2.9402411200102962,0.07297332297332315,0.8933566433566432,0.79743621176814,0.0202004010741061,0.8908098852141347
SVM,0.9052188552188551,0.036873860597608096,4.07347465035879,0.11350686350686368,0.8444055944055944,0.8112081716732881,0.03841542889310462,0.873026980058237
MLP,0.8919450919450919,0.03229301706889367,3.620516258290216,0.09090909090909083,0.8391608391608392,0.7813434504604896,0.05167170916906036,0.8640425510943515
XGBoost,0.8841880341880343,0.027684953114056242,3.1311160119328956,0.08177933177933183,0.8374125874125874,0.8163778492880145,0.05759987909348425,0.8603687652609855
Gradient Boosting,0.8833203833203834,0.0427725420775862,4.842245564039299,0.11538461538461542,0.8006993006993007,0.7741360089186176,0.06453530440178566,0.847088264867892
