config,mean_auc,sd_auc,mean_f1,recall,delta_auc,p,sig
A. Full Framework,0.913986013986014,0.023007949477429502,0.8147776527057238,0.7818181818181819,0.0,1.0,False
B. w/o Feature Selection,0.9095441595441596,0.026990798678196804,0.8241528796406845,0.8090909090909092,-0.004441854441854409,0.8125,False
C. w/o Hybrid Ensemble,0.9092527842527843,0.029915143071737937,0.8112408923250669,0.7636363636363637,-0.004733229733229649,1.0,False
D. w/o SMOTE,0.9160709660709662,0.023492649509524458,0.8147776527057238,0.7818181818181819,0.002084952084952185,0.625,False
E. w/o Feature Engineering,0.9191789691789692,0.02508676060787315,0.8300391564844082,0.8181818181818181,0.005192955192955262,0.4375,False
G. w/o Nested CV,0.913986013986014,0.023007949477429502,0.8147776527057238,0.7818181818181819,0.0,1.0,False
