model,avg_rank,friedman_chi2,friedman_p
Logistic Regression,3.9,9.568345323741006,0.21438256477891807
SVM,4.1,9.568345323741006,0.21438256477891807
Random Forest,3.8,9.568345323741006,0.21438256477891807
Gradient Boosting,5.2,9.568345323741006,0.21438256477891807
XGBoost,6.8,9.568345323741006,0.21438256477891807
KNN,3.4,9.568345323741006,0.21438256477891807
MLP,5.7,9.568345323741006,0.21438256477891807
Hybrid Ensemble,3.1,9.568345323741006,0.21438256477891807
