model,brier_before,ece_before,mce_before,brier_after,ece_after,mce_after,platt_applied,best_brier,best_ece
Logistic Regression,0.14826791504259262,0.12895601025985082,0.5708069699891155,0.14387035930032255,0.12753520727378997,0.3018100297210615,True,0.14387035930032255,0.12753520727378997
SVM,0.1430272957218912,0.10336722042956194,0.43104774523785705,0.14140650417371103,0.0874059839001553,0.6786205081791419,True,0.14140650417371103,0.0874059839001553
Random Forest,0.14639467339443066,0.09299529882220044,0.4231894461733024,0.14998786174994208,0.09045936474188433,0.402508152686959,True,0.14998786174994208,0.09045936474188433
Gradient Boosting,0.22402718489323262,0.2319472486521915,0.85001320889634,0.16952574678805032,0.16911696897644957,0.6517224125590696,True,0.16952574678805032,0.16911696897644957
XGBoost,0.18891960382461548,0.19729369420741424,0.6654614210128784,0.16844795003875665,0.10848285133984048,0.6285992716793687,True,0.16844795003875665,0.10848285133984048
KNN,0.14178506375227687,0.07431693989071038,0.3333333333333333,0.1433831109288833,0.09599566107498238,0.4043223138344616,True,0.14178506375227687,0.07431693989071038
MLP,0.16877557712151497,0.1577626722426125,0.8377316086406938,0.15503721347526414,0.07034043484351406,0.14552930343090867,True,0.15503721347526414,0.07034043484351406
Hybrid Ensemble,0.14129177359779097,0.12651917664176365,0.47047279941819253,0.14491672878218884,0.09769535720860704,0.45797791720966147,True,0.14491672878218884,0.09769535720860704
