subgroup,n,fn,fp,fn_rate,fp_rate,err_rate
Young (<45),13,0,0,0.0,0.0,0.0
Middle (45-60),33,4,3,0.2222222222222222,0.2,0.21212121212121213
Senior (>60),15,1,3,0.14285714285714285,0.375,0.26666666666666666
Female,23,1,2,0.14285714285714285,0.125,0.13043478260869565
Male,38,4,4,0.19047619047619047,0.23529411764705882,0.21052631578947367
