,Logistic Regression,SVM,Random Forest,Gradient Boosting,XGBoost,KNN,MLP,Hybrid Ensemble
Fold_1,0.9528619528619529,0.957912457912458,0.9545454545454546,0.8956228956228957,0.9191919191919192,0.9663299663299664,0.9107744107744107,0.9545454545454546
Fold_2,0.9335664335664335,0.9195804195804196,0.8898601398601399,0.8881118881118881,0.8811188811188811,0.8933566433566433,0.93006993006993,0.9020979020979022
Fold_3,0.8968531468531469,0.8951048951048951,0.8951048951048951,0.8006993006993007,0.8374125874125874,0.9090909090909091,0.8723776223776224,0.8986013986013986
Fold_4,0.9073426573426573,0.9090909090909091,0.9178321678321678,0.9160839160839161,0.9038461538461539,0.8933566433566432,0.9073426573426573,0.9090909090909092
Fold_5,0.8986013986013986,0.8444055944055944,0.9038461538461539,0.916083916083916,0.8793706293706294,0.9117132867132867,0.8391608391608392,0.9055944055944056
